year,race,sex,age_group,population
2012,Brown,Female,35-39,3122194
2012,Brown,Female,40-44,2864740
2012,Brown,Female,45-49,2493425
2012,Brown,Female,50-54,2119823
2012,Brown,Female,55-59,1733629
2012,Brown,Female,60-64,1349793
2012,Brown,Female,65-69,1004459
2012,Brown,Female,70-74,752324
2012,Brown,Female,75-79,491227
2012,Brown,Female,80+,569450
2012,Yellow,Male,0-4,47504
2012,Yellow,Male,5-9,54907
2012,Yellow,Male,10-14,60242
2012,Yellow,Male,15-19,61058
2012,Yellow,Male,20-24,67972
2012,Yellow,Male,25-29,69588
2012,Yellow,Male,30-34,65086
2012,Yellow,Male,35-39,57303
2012,Yellow,Male,40-44,53952
2012,Yellow,Male,45-49,48758
2012,Yellow,Male,50-54,43045
2012,Yellow,Male,55-59,39225
2012,Yellow,Male,60-64,35553
2012,Yellow,Male,65-69,29344
2012,Yellow,Male,70-74,24415
2012,Yellow,Male,75-79,15997
2012,Yellow,Male,80+,16836
2012,Yellow,Female,0-4,44922
2012,Yellow,Female,5-9,52927
2012,Yellow,Female,10-14,62922
2012,Yellow,Female,15-19,73894
2012,Yellow,Female,20-24,85843
2012,Yellow,Female,25-29,87719
2012,Yellow,Female,30-34,80312
2012,Yellow,Female,35-39,70211
2012,Yellow,Female,40-44,65269
2012,Yellow,Female,45-49,58006
2012,Yellow,Female,50-54,50264
2012,Yellow,Female,55-59,45884
2012,Yellow,Female,60-64,41224
2012,Yellow,Female,65-69,34141
2012,Yellow,Female,70-74,28213
2012,Yellow,Female,75-79,19663
2012,Yellow,Female,80+,23928
2012,Indigenous,Male,0-4,53308
2012,Indigenous,Male,5-9,52529
2012,Indigenous,Male,10-14,49682
2012,Indigenous,Male,15-19,43673
2012,Indigenous,Male,20-24,39338
2012,Indigenous,Male,25-29,34339
2012,Indigenous,Male,30-34,29434
2012,Indigenous,Male,35-39,25716
2012,Indigenous,Male,40-44,21939
2012,Indigenous,Male,45-49,18690
2012,Indigenous,Male,50-54,15139
2012,Indigenous,Male,55-59,12505
2012,Indigenous,Male,60-64,9981
2012,Indigenous,Male,65-69,7782
2012,Indigenous,Male,70-74,5847
2012,Indigenous,Male,75-79,3793
2012,Indigenous,Male,80+,4537
2012,Indigenous,Female,0-4,51853
2012,Indigenous,Female,5-9,50813
2012,Indigenous,Female,10-14,48112
2012,Indigenous,Female,15-19,42744
2012,Indigenous,Female,20-24,37817
