year,race,sex,age_group,population
2012,Indigenous,Female,25-29,33567
2012,Indigenous,Female,30-34,29291
2012,Indigenous,Female,35-39,25194
2012,Indigenous,Female,40-44,21571
2012,Indigenous,Female,45-49,18812
2012,Indigenous,Female,50-54,15560
2012,Indigenous,Female,55-59,13666
2012,Indigenous,Female,60-64,11289
2012,Indigenous,Female,65-69,8977
2012,Indigenous,Female,70-74,6576
2012,Indigenous,Female,75-79,4399
2012,Indigenous,Female,80+,6344
2013,White,Male,0-4,3252971
2013,White,Male,5-9,3189859
2013,White,Male,10-14,3371447
2013,White,Male,15-19,3389022
2013,White,Male,20-24,3586454
2013,White,Male,25-29,3614985
2013,White,Male,30-34,3397138
2013,White,Male,35-39,3140114
2013,White,Male,40-44,3057065
2013,White,Male,45-49,2813819
2013,White,Male,50-54,2506750
2013,White,Male,55-59,2148219
2013,White,Male,60-64,1744912
2013,White,Male,65-69,1308527
2013,White,Male,70-74,997062
2013,White,Male,75-79,668015
2013,White,Male,80+,704517
2013,White,Female,0-4,3188317
2013,White,Female,5-9,3135930
2013,White,Female,10-14,3312711
2013,White,Female,15-19,3439637
2013,White,Female,20-24,3708097
2013,White,Female,25-29,3821991
2013,White,Female,30-34,3671968
2013,White,Female,35-39,3470593
2013,White,Female,40-44,3404374
2013,White,Female,45-49,3173353
2013,White,Female,50-54,2848289
2013,White,Female,55-59,2483969
2013,White,Female,60-64,2060155
2013,White,Female,65-69,1605508
2013,White,Female,70-74,1301605
2013,White,Female,75-79,956592
2013,White,Female,80+,1233937
2013,Black,Male,0-4,354554
2013,Black,Male,5-9,478288
2013,Black,Male,10-14,599241
2013,Black,Male,15-19,682499
2013,Black,Male,20-24,767414
2013,Black,Male,25-29,799251
2013,Black,Male,30-34,762473
2013,Black,Male,35-39,692244
2013,Black,Male,40-44,653437
2013,Black,Male,45-49,562030
2013,Black,Male,50-54,482843
2013,Black,Male,55-59,383659
2013,Black,Male,60-64,296561
2013,Black,Male,65-69,215378
2013,Black,Male,70-74,155347
2013,Black,Male,75-79,97391
2013,Black,Male,80+,100968
2013,Black,Female,0-4,327172
2013,Black,Female,5-9,430586
2013,Black,Female,10-14,534256
2013,Black,Female,15-19,604816
2013,Black,Female,20-24,682914
2013,Black,Female,25-29,711058
2013,Black,Female,30-34,674831
2013,Black,Female,35-39,615098
2013,Black,Female,40-44,587114
2013,Black,Female,45-49,524384
2013,Black,Female,50-54,472181
2013,Black,Female,55-59,394509
2013,Black,Female,60-64,318838
2013,Black,Female,65-69,241775
2013,Black,Female,70-74,184942
2013,Black,Female,75-79,124601
2013,Black,Female,80+,148229
2013,Brown,Male,0-4,3127971
2013,Brown,Male,5-9,3650494
2013,Brown,Male,10-14,4138201
2013,Brown,Male,15-19,4012525
2013,Brown,Male,20-24,3891010
2013,Brown,Male,25-29,3667343
2013,Brown,Male,30-34,3368248
2013,Brown,Male,35-39,3058588
2013,Brown,Male,40-44,2829892
2013,Brown,Male,45-49,2408527
2013,Brown,Male,50-54,2024210
2013,Brown,Male,55-59,1629089
2013,Brown,Male,60-64,1267483
2013,Brown,Male,65-69,929046
2013,Brown,Male,70-74,670943
2013,Brown,Male,75-79,417018
2013,Brown,Male,80+,428712
2013,Brown,Female,0-4,2990432
2013,Brown,Female,5-9,3476547
2013,Brown,Female,10-14,3967732
2013,Brown,Female,15-19,3862462
2013,Brown,Female,20-24,3806356
2013,Brown,Female,25-29,3719631
2013,Brown,Female,30-34,3495256
2013,Brown,Female,35-39,3182075
2013,Brown,Female,40-44,2936386
2013,Brown,Female,45-49,2548603
2013,Brown,Female,50-54,2178834
2013,Brown,Female,55-59,1798427
2013,Brown,Female,60-64,1408821
2013,Brown,Female,65-69,1051186
2013,Brown,Female,70-74,783925
2013,Brown,Female,75-79,510951
2013,Brown,Female,80+,593961
